node,node_type,fault_source_level,x_mm,y_mm,z_mm,surface_area,conv_hA,C_th,base_resistance_ohm,is_series_path,fuel_mass,burn_rate,spread_material_factor,spread_heat_threshold,spread_exposure_threshold
QS1,switch,medium,115.0,285.0,1340.0,0.011,0.092,150.0,0.0005,1,8.0,0.045,0.96,430.0,7800.0
QF1,breaker,medium,180.0,290.0,1225.0,0.010,0.090,140.0,0.0006,1,10.0,0.050,0.95,430.0,7800.0
QF2,breaker,medium,205.0,235.0,1165.0,0.010,0.088,132.0,0.0006,1,9.0,0.048,0.95,430.0,7600.0
QF_CTRL,breaker,medium,245.0,225.0,1045.0,0.008,0.070,105.0,0.0004,0,7.0,0.040,0.94,410.0,7000.0
KM1_DC,contactor,high,300.0,305.0,1215.0,0.0084,0.076,128.0,0.0020,1,20.0,0.125,0.92,380.0,6600.0
KM1_DC_IN,contactor_terminal,high,278.0,305.0,1232.0,0.0042,0.045,58.0,0.0004,1,6.0,0.050,0.82,260.0,3600.0
KM1_DC_OUT,contactor_terminal,high,322.0,305.0,1198.0,0.0042,0.045,58.0,0.0004,1,6.0,0.050,0.82,260.0,3600.0
KM1_AC,contactor,high,455.0,248.0,1095.0,0.0108,0.104,92.0,0.0020,1,15.5,0.088,0.94,400.0,7000.0
KM1_AC_IN,contactor_terminal,high,432.0,248.0,1115.0,0.0042,0.047,56.0,0.0004,1,5.5,0.045,0.84,270.0,3800.0
KM1_AC_OUT,contactor_terminal,high,478.0,248.0,1075.0,0.0042,0.047,56.0,0.0004,1,5.5,0.045,0.84,270.0,3800.0
FR1,protector,medium,590.0,260.0,1075.0,0.007,0.070,90.0,0.0006,1,12.0,0.070,0.84,300.0,4200.0
KA1,relay,medium,285.0,220.0,1015.0,0.006,0.054,65.0,0.0000,0,5.5,0.036,0.86,320.0,5000.0
KA2,relay,medium,360.0,220.0,1015.0,0.006,0.054,65.0,0.0000,0,5.5,0.036,0.86,320.0,5000.0
SPD1,protector,medium,145.0,330.0,940.0,0.007,0.066,82.0,0.0000,0,6.0,0.040,0.84,300.0,4200.0
X1_1,terminal,high,612.0,328.0,835.0,0.005,0.050,55.0,0.0004,1,9.0,0.060,0.78,230.0,3000.0
X1_2,terminal,high,652.0,328.0,815.0,0.005,0.050,55.0,0.0004,1,9.0,0.060,0.78,230.0,3000.0
X1_3,terminal,high,692.0,328.0,795.0,0.005,0.050,55.0,0.0000,0,8.5,0.058,0.78,230.0,3000.0
X2_1,terminal,high,610.0,330.0,705.0,0.005,0.050,55.0,0.0000,0,9.0,0.060,0.78,230.0,3000.0
X2_2,terminal,high,650.0,330.0,685.0,0.005,0.050,55.0,0.0000,0,9.0,0.060,0.78,230.0,3000.0
PE_BAR,ground,medium,125.0,430.0,520.0,0.009,0.080,125.0,0.0000,0,1.0,0.010,1.12,520.0,9500.0
GND_STUD,ground,medium,70.0,455.0,430.0,0.006,0.075,95.0,0.0000,0,0.5,0.005,1.14,540.0,9800.0
CN1,connector,high,95.0,340.0,830.0,0.005,0.048,50.0,0.0000,0,8.0,0.058,0.76,225.0,2900.0
CN2,connector,high,735.0,340.0,870.0,0.005,0.048,50.0,0.0000,0,8.0,0.058,0.76,225.0,2900.0
CN3,connector,high,690.0,500.0,455.0,0.006,0.052,52.0,0.0004,1,8.0,0.060,0.76,225.0,2900.0
HARNESS_L1,harness,high,85.0,350.0,1040.0,0.012,0.062,48.0,0.0000,0,18.0,0.105,0.72,210.0,2500.0
HARNESS_R1,harness,high,725.0,350.0,1010.0,0.012,0.062,48.0,0.0000,0,18.0,0.105,0.72,210.0,2500.0
HARNESS_TOP,harness,high,402.0,370.0,1510.0,0.012,0.060,48.0,0.0000,0,16.0,0.090,0.73,215.0,2600.0
HARNESS_BOTTOM,harness,high,402.0,375.0,610.0,0.014,0.065,52.0,0.0000,0,24.0,0.130,0.70,205.0,2300.0
BOTTOM_CABLE,harness,high,580.0,390.0,500.0,0.012,0.058,50.0,0.0004,1,18.0,0.100,0.72,210.0,2500.0
AIR_TOP,air_zone,indirect,402.0,288.0,1550.0,0.075,0.160,240.0,0.0000,0,0.0,0.000,1.00,560.0,11000.0
AIR_MID,air_zone,indirect,402.0,288.0,1060.0,0.070,0.130,260.0,0.0000,0,0.0,0.000,1.05,600.0,12000.0
AIR_BOTTOM,air_zone,indirect,402.0,288.0,585.0,0.070,0.115,280.0,0.0000,0,0.0,0.000,1.00,560.0,11000.0
AIR_LEFT,air_zone,indirect,90.0,288.0,1000.0,0.060,0.125,230.0,0.0000,0,0.0,0.000,1.04,590.0,11500.0
AIR_RIGHT,air_zone,indirect,714.0,288.0,1000.0,0.060,0.125,230.0,0.0000,0,0.0,0.000,1.04,590.0,11500.0
BACKPLATE,cabinet_boundary,medium,402.0,535.0,1030.0,0.080,0.155,420.0,0.0000,0,0.0,0.000,1.20,650.0,14000.0
DOOR,cabinet_boundary,medium,402.0,70.0,1030.0,0.075,0.145,360.0,0.0000,0,0.0,0.000,1.14,620.0,13000.0
VENT,ventilation,indirect,402.0,80.0,220.0,0.030,0.180,120.0,0.0000,0,2.0,0.020,0.98,360.0,6000.0

