node,type,fault_source_level
QS1,switch,medium
QF1,breaker,medium
QF2,breaker,medium
QF_CTRL,breaker,medium
KM1_DC,contactor,high
KM1_DC_IN,contactor_terminal,high
KM1_DC_OUT,contactor_terminal,high
KM1_AC,contactor,high
KM1_AC_IN,contactor_terminal,high
KM1_AC_OUT,contactor_terminal,high
FR1,protector,medium
KA1,relay,medium
KA2,relay,medium
SPD1,protector,medium
X1_1,terminal,high
X1_2,terminal,high
X1_3,terminal,high
X2_1,terminal,high
X2_2,terminal,high
PE_BAR,ground,medium
GND_STUD,ground,medium
CN1,connector,high
CN2,connector,high
CN3,connector,high
HARNESS_L1,harness,high
HARNESS_R1,harness,high
HARNESS_TOP,harness,high
HARNESS_BOTTOM,harness,high
BOTTOM_CABLE,harness,high
AIR_TOP,air_zone,indirect
AIR_MID,air_zone,indirect
AIR_BOTTOM,air_zone,indirect
AIR_LEFT,air_zone,indirect
AIR_RIGHT,air_zone,indirect
BACKPLATE,cabinet_boundary,medium
DOOR,cabinet_boundary,medium
VENT,ventilation,indirect

