case_id,fault_terminal,current_level,current_profile,service_years,ambient_temp,vent_state,door_state,seed,severity,supply_mode,circuit_id,Stage_1_5_Time_s,Stage_2_Time_s,Stage_3_Time_s,Peak_Fire_HRR,Peak_Arc_Power,Aging_Ea_kJ_per_mol,Aging_Ignition_Temp_Rise_C,Aging_Combustion_Rate_Multiplier,Fault_Burnable_Mass_at_Stage3_g,Arc_Without_Sustained_Fire,Secondary_Ignited_Count,Secondary_Ignited_Nodes,Secondary_Ignition_Causes,Top_Risk_Neighbor,Max_Neighbor_T,Max_Neighbor_C,Diagnostic_Issues,Runner_QC_Issues,status,n_rows,n_nodes,edge_feat_shape,source_case_id
CASE_00003,KM1_DC,2.0,constant,0.0,26.0,normal,closed,3002,0.75,DC,DC_LOOP,,,,0.0,0.0,135.0,0.0,1.0,,False,0,,,KM1_AC,26.04,9.065,,,success,45001,37,37x37x4,
CASE_00002,KM1_DC,2.0,constant,0.0,26.0,normal,closed,2001,0.75,DC,DC_LOOP,,,,0.0,0.0,135.0,0.0,1.0,,False,0,,,KM1_AC,26.04,8.96,,,success,45001,37,37x37x4,
CASE_00004,KM1_DC,2.0,constant,0.0,26.0,reduced,closed,4000,0.75,DC,DC_LOOP,,,,0.0,0.0,135.0,0.0,1.0,,False,0,,,KM1_AC,26.04,8.258,,,success,45001,37,37x37x4,
CASE_00006,KM1_DC,2.0,constant,0.0,26.0,reduced,closed,6002,0.75,DC,DC_LOOP,,,,0.0,0.0,135.0,0.0,1.0,,False,0,,,KM1_AC,26.04,8.248,,,success,45001,37,37x37x4,
CASE_00008,KM1_DC,2.0,constant,0.0,26.0,forced,closed,8001,0.75,DC,DC_LOOP,,,,0.0,0.0,135.0,0.0,1.0,,False,0,,,KM1_AC,26.04,8.087,,,success,45001,37,37x37x4,
CASE_00007,KM1_DC,2.0,constant,0.0,26.0,forced,closed,7000,0.75,DC,DC_LOOP,,,,0.0,0.0,135.0,0.0,1.0,,False,0,,,KM1_AC,26.04,8.06,,,success,45001,37,37x37x4,
CASE_00001,KM1_DC,2.0,constant,0.0,26.0,normal,closed,1000,0.75,DC,DC_LOOP,,,,0.0,0.0,135.0,0.0,1.0,,False,0,,,KM1_AC,26.04,7.834,,,success,45001,37,37x37x4,
CASE_00005,KM1_DC,2.0,constant,0.0,26.0,reduced,closed,5001,0.75,DC,DC_LOOP,,,,0.0,0.0,135.0,0.0,1.0,,False,0,,,KM1_AC,26.04,8.197,,,success,45001,37,37x37x4,
CASE_00009,KM1_DC,2.0,constant,0.0,26.0,forced,closed,9002,0.75,DC,DC_LOOP,,,,0.0,0.0,135.0,0.0,1.0,,False,0,,,KM1_AC,26.04,8.398,,,success,45001,37,37x37x4,
CASE_00010,KM1_DC,2.0,constant,0.0,26.0,off,closed,10000,0.75,DC,DC_LOOP,,,,0.0,0.0,135.0,0.0,1.0,,False,0,,,KM1_AC,26.04,8.761,,,success,45001,37,37x37x4,
CASE_00012,KM1_DC,2.0,constant,0.0,26.0,off,closed,12002,0.75,DC,DC_LOOP,,,,0.0,0.0,135.0,0.0,1.0,,False,0,,,KM1_AC,26.04,8.666,,,success,45001,37,37x37x4,
CASE_00013,KM1_DC,2.0,constant,5.0,26.0,normal,closed,13000,0.75,DC,DC_LOOP,,,,0.0,0.0,135.59,2.046,0.9801,,False,0,,,KM1_DC_OUT,26.24,7.532,,,success,45001,37,37x37x4,
CASE_00011,KM1_DC,2.0,constant,0.0,26.0,off,closed,11001,0.75,DC,DC_LOOP,,,,0.0,0.0,135.0,0.0,1.0,,False,0,,,KM1_AC,26.04,8.549,,,success,45001,37,37x37x4,
CASE_00014,KM1_DC,2.0,constant,5.0,26.0,normal,closed,14001,0.75,DC,DC_LOOP,,,,0.0,0.0,135.59,2.046,0.9801,,False,0,,,KM1_DC_OUT,26.24,9.687,,,success,45001,37,37x37x4,
CASE_00015,KM1_DC,2.0,constant,5.0,26.0,normal,closed,15002,0.75,DC,DC_LOOP,,,,0.0,0.0,135.59,2.046,0.9801,,False,0,,,KM1_DC_OUT,26.24,8.406,,,success,45001,37,37x37x4,
CASE_00016,KM1_DC,2.0,constant,5.0,26.0,reduced,closed,16000,0.75,DC,DC_LOOP,,,,0.0,0.0,135.59,2.046,0.9801,,False,0,,,KM1_DC_OUT,26.24,7.53,,,success,45001,37,37x37x4,
CASE_00017,KM1_DC,2.0,constant,5.0,26.0,reduced,closed,17001,0.75,DC,DC_LOOP,,,,0.0,0.0,135.59,2.046,0.9801,,False,0,,,KM1_DC_OUT,26.24,8.746,,,success,45001,37,37x37x4,
CASE_00019,KM1_DC,2.0,constant,5.0,26.0,forced,closed,19000,0.75,DC,DC_LOOP,,,,0.0,0.0,135.59,2.046,0.9801,,False,0,,,KM1_DC_OUT,26.24,7.607,,,success,45001,37,37x37x4,
CASE_00020,KM1_DC,2.0,constant,5.0,26.0,forced,closed,20001,0.75,DC,DC_LOOP,,,,0.0,0.0,135.59,2.046,0.9801,,False,0,,,KM1_DC_OUT,26.24,8.123,,,success,45001,37,37x37x4,
CASE_00018,KM1_DC,2.0,constant,5.0,26.0,reduced,closed,18002,0.75,DC,DC_LOOP,,,,0.0,0.0,135.59,2.046,0.9801,,False,0,,,KM1_DC_OUT,26.24,8.907,,,success,45001,37,37x37x4,
